,0
0,-0.032667540667717807
1,-0.02758733844927818
2,-0.027489236493966517
3,-0.027080804565772987
4,-0.027035972832770615
5,-0.02743095905474398
6,-0.026984273241440156
7,-0.02693944619696874
8,-0.027055582499623736
9,-0.027010815903533728
10,-0.026925989707526212
11,-0.026881162663054795
12,-0.02696098520558306
13,-0.02691504921596268
14,-0.026902701671669114
15,-0.026856765682048735
16,-0.03345760422527206
17,-0.029332364754803573
18,-0.029248011933189932
19,-0.028828158870981967
20,-0.028782815710778058
21,-0.028742109778880632
22,-0.02869745897695491
23,-0.028804917972057018
24,-0.02875916789345308
25,-0.028718547926987855
26,-0.028672677511252503
