mut_id,mut_label
0,10_10008
1,10_10010
2,10_10014
3,10_10043
4,10_10045
5,10_10050
6,10_10073
7,10_10082
8,10_10138
9,10_10167
10,10_10176
11,10_10218
12,10_10252
13,10_10258
14,10_10259
15,10_103
16,10_1030
17,10_10317
18,10_10347
19,10_10352
20,10_10363
21,10_10379
22,10_10411
23,10_10415
24,10_10440
25,10_10449
26,10_10451
27,10_10454
28,10_10515
29,10_10585
30,10_10621
31,10_10631
32,10_10632
33,10_1066
34,10_10664
35,10_10676
36,10_10698
37,10_10738
38,10_10770
39,10_10793
40,10_10805
41,10_10814
42,10_10834
43,10_10858
44,10_1086
45,10_10894
46,10_10969
47,10_10975
48,10_1099
49,10_110
50,10_1102
51,10_11020
52,10_11068
53,10_11121
54,10_11126
55,10_1118
56,10_11215
57,10_11239
58,10_11243
59,10_11245
60,10_11248
61,10_11265
62,10_11267
63,10_11280
64,10_11286
65,10_11302
66,10_11309
67,10_11342
68,10_11343
69,10_11362
70,10_11400
71,10_11417
72,10_11419
73,10_11449
74,10_11471
75,10_11508
76,10_11541
77,10_11607
78,10_11655
79,10_11662
80,10_1167
81,10_11696
82,10_11718
83,10_11732
84,10_11755
85,10_11791
86,10_11805
87,10_11842
88,10_11855
89,10_11856
90,10_11883
91,10_11930
92,10_11952
93,10_11980
94,10_12107
95,10_12108
96,10_12126
97,10_12130
98,10_12166
99,10_12185
100,10_12189
101,10_12191
102,10_1226
103,10_12273
104,10_12295
105,10_1236
106,10_12444
107,10_12453
108,10_1246
109,10_12462
110,10_12488
111,10_12508
112,10_12529
113,10_12537
114,10_12559
115,10_12578
116,10_126
117,10_12603
118,10_12632
119,10_1266
120,10_12690
121,10_12699
122,10_12716
123,10_1273
124,10_12756
125,10_12776
126,10_12793
127,10_12807
128,10_12810
129,10_12812
130,10_12856
131,10_12858
132,10_12961
133,10_12971
134,10_12980
135,10_13025
136,10_13030
137,10_13039
138,10_13043
139,10_1309
140,10_13101
141,10_13123
142,10_13137
143,10_1385
144,10_14
145,10_1410
146,10_1411
147,10_1420
148,10_1454
149,10_1478
150,10_1485
151,10_1526
152,10_1645
153,10_1649
154,10_1659
155,10_1670
156,10_1691
157,10_1701
158,10_1806
159,10_1812
160,10_1818
161,10_1842
162,10_1848
163,10_1875
164,10_1910
165,10_1935
166,10_1971
167,10_2018
168,10_2026
169,10_2041
170,10_2052
171,10_2054
172,10_2055
173,10_2057
174,10_2071
175,10_2095
176,10_2098
177,10_2100
178,10_2118
179,10_2152
180,10_2162
181,10_2173
182,10_2234
183,10_2275
184,10_2299
185,10_2325
186,10_2347
187,10_2377
188,10_2382
189,10_240
190,10_2497
191,10_2518
192,10_2524
193,10_2551
194,10_2554
195,10_258
196,10_2718
197,10_2743
198,10_2744
199,10_2805
200,10_2818
201,10_2836
202,10_2852
203,10_2861
204,10_2865
205,10_2870
206,10_2873
207,10_2880
208,10_2912
209,10_2941
210,10_298
211,10_3020
212,10_3045
213,10_3046
214,10_3050
215,10_3096
216,10_3099
217,10_311
218,10_3127
219,10_3130
220,10_3146
221,10_3219
222,10_3241
223,10_3245
224,10_3253
225,10_3282
226,10_331
227,10_3311
228,10_3344
229,10_3378
230,10_3382
231,10_3394
232,10_3396
233,10_3406
234,10_3407
235,10_3432
236,10_3442
237,10_3459
238,10_3490
239,10_3500
240,10_3523
241,10_3556
242,10_3571
243,10_3587
244,10_3637
245,10_364
246,10_365
247,10_3653
248,10_3662
249,10_3669
250,10_3678
251,10_3706
252,10_3720
253,10_3769
254,10_377
255,10_3775
256,10_3786
257,10_379
258,10_380
259,10_3811
260,10_3820
261,10_3860
262,10_3887
263,10_4016
264,10_4031
265,10_4158
266,10_4186
267,10_4189
268,10_4199
269,10_4208
270,10_4228
271,10_4272
272,10_4275
273,10_4305
274,10_4311
275,10_4355
276,10_436
277,10_4385
278,10_4386
279,10_4437
280,10_4466
281,10_4513
282,10_4519
283,10_4522
284,10_4532
285,10_4583
286,10_4635
287,10_4678
288,10_4699
289,10_4729
290,10_4746
291,10_4799
292,10_4843
293,10_488
294,10_4908
295,10_4918
296,10_4925
297,10_4937
298,10_4939
299,10_4945
300,10_4978
301,10_5006
302,10_5008
303,10_5086
304,10_5088
305,10_5113
306,10_5121
307,10_5123
308,10_5142
309,10_5162
310,10_5164
311,10_5294
312,10_5298
313,10_530
314,10_5405
315,10_5422
316,10_5444
317,10_5469
318,10_5487
319,10_5554
320,10_5570
321,10_5588
322,10_5590
323,10_5606
324,10_562
325,10_5642
326,10_5652
327,10_5690
328,10_5705
329,10_5711
330,10_5717
331,10_574
332,10_5742
333,10_579
334,10_5798
335,10_5809
336,10_5816
337,10_5829
338,10_5834
339,10_5850
340,10_5863
341,10_5978
342,10_5991
343,10_6028
344,10_6041
345,10_6042
346,10_606
347,10_6073
348,10_6082
349,10_6097
350,10_6106
351,10_6108
352,10_6109
353,10_6140
354,10_6153
355,10_6181
356,10_6183
357,10_6223
358,10_6306
359,10_631
360,10_6320
361,10_6348
362,10_6380
363,10_64
364,10_640
365,10_6411
366,10_643
367,10_6463
368,10_6487
369,10_6548
370,10_6551
371,10_6581
372,10_663
373,10_6643
374,10_6661
375,10_6663
376,10_6683
377,10_6688
378,10_6707
379,10_6733
380,10_6761
381,10_6771
382,10_6830
383,10_6866
384,10_6938
385,10_696
386,10_7009
387,10_701
388,10_7012
389,10_7030
390,10_7057
391,10_7060
392,10_7062
393,10_7090
394,10_7109
395,10_714
396,10_7169
397,10_7177
398,10_7208
399,10_722
400,10_7285
401,10_7347
402,10_7365
403,10_7389
404,10_7402
405,10_7431
406,10_7507
407,10_7530
408,10_754
409,10_7568
410,10_7667
411,10_7679
412,10_769
413,10_7692
414,10_7742
415,10_7745
416,10_7748
417,10_776
418,10_7764
419,10_7780
420,10_7785
421,10_7807
422,10_781
423,10_784
424,10_7846
425,10_7898
426,10_7899
427,10_791
428,10_7959
429,10_7982
430,10_7994
431,10_8020
432,10_8144
433,10_8179
434,10_8182
435,10_8190
436,10_8213
437,10_8228
438,10_8259
439,10_8310
440,10_8312
441,10_834
442,10_8353
443,10_8355
444,10_8375
445,10_8429
446,10_8432
447,10_8495
448,10_8511
449,10_8517
450,10_8519
451,10_8571
452,10_8579
453,10_8580
454,10_8597
455,10_8600
456,10_8611
457,10_8633
458,10_8643
459,10_8666
460,10_8694
461,10_8704
462,10_8712
463,10_8750
464,10_8783
465,10_8798
466,10_8803
467,10_8805
468,10_8889
469,10_8896
470,10_8899
471,10_8907
472,10_8926
473,10_893
474,10_8952
475,10_896
476,10_8967
477,10_9030
478,10_9048
479,10_9068
480,10_9094
481,10_9097
482,10_9099
483,10_9125
484,10_9127
485,10_9132
486,10_9167
487,10_9197
488,10_9229
489,10_9235
490,10_9264
