mut_id,mut_label
0,chr10_1015
1,chr10_1019
2,chr10_102
3,chr10_1028
4,chr10_1052
5,chr10_1065
6,chr10_1124
7,chr10_1188
8,chr10_1191
9,chr10_1204
10,chr10_1259
11,chr10_1269
12,chr10_1282
13,chr10_1289
14,chr10_1349
15,chr10_1378
16,chr10_138
17,chr10_1398
18,chr10_14
19,chr10_1428
20,chr10_1433
21,chr10_1445
22,chr10_1455
23,chr10_1475
24,chr10_1480
25,chr10_1496
26,chr10_1506
27,chr10_1517
28,chr10_1547
29,chr10_1557
30,chr10_1591
31,chr10_160
32,chr10_1606
33,chr10_1611
34,chr10_1626
35,chr10_1631
36,chr10_1640
37,chr10_1641
38,chr10_1677
39,chr10_1682
40,chr10_169
41,chr10_1720
42,chr10_1725
43,chr10_1749
44,chr10_175
45,chr10_1776
46,chr10_1796
47,chr10_1825
48,chr10_1843
49,chr10_1856
50,chr10_1875
51,chr10_1917
52,chr10_1929
53,chr10_1943
54,chr10_1944
55,chr10_1957
56,chr10_1965
57,chr10_1966
58,chr10_1986
59,chr10_2022
60,chr10_2051
61,chr10_2080
62,chr10_2102
63,chr10_2108
64,chr10_2134
65,chr10_2154
66,chr10_2162
67,chr10_2204
68,chr10_221
69,chr10_2264
70,chr10_2269
71,chr10_2287
72,chr10_2306
73,chr10_2307
74,chr10_2312
75,chr10_2404
76,chr10_2405
77,chr10_241
78,chr10_2412
79,chr10_2426
80,chr10_2477
81,chr10_2488
82,chr10_2502
83,chr10_2570
84,chr10_2604
85,chr10_2629
86,chr10_2659
87,chr10_2733
88,chr10_2755
89,chr10_2764
90,chr10_280
91,chr10_2806
92,chr10_2849
93,chr10_2858
94,chr10_2878
95,chr10_2881
96,chr10_2908
97,chr10_2914
98,chr10_2950
99,chr10_2956
100,chr10_2964
101,chr10_2982
102,chr10_2985
103,chr10_300
104,chr10_3043
105,chr10_3058
106,chr10_3080
107,chr10_3089
108,chr10_3096
109,chr10_3119
110,chr10_3137
111,chr10_3217
112,chr10_3240
113,chr10_3246
114,chr10_3301
115,chr10_3307
116,chr10_3313
117,chr10_3347
118,chr10_3372
119,chr10_3388
120,chr10_3389
121,chr10_3422
122,chr10_3429
123,chr10_3433
124,chr10_3455
125,chr10_3478
126,chr10_3507
127,chr10_354
128,chr10_355
129,chr10_3563
130,chr10_3573
131,chr10_3645
