,0
0,-0.008879878187599744
1,-0.0065090490947204835
2,-0.0065911696209904535
3,-0.0059601792947822935
4,-0.005295375582147836
5,-0.005860647968619358
6,-0.0050234680691894
7,-0.005676837550268081
8,-0.005316605411840311
9,-0.005077227835740407
10,-0.004962243878205875
11,-0.00541445237955491
12,-0.004829948191869564
13,-0.0045540490570283795
14,-0.005456714889882707
15,-0.005041005484697832
16,-0.005160576371280736
17,-0.004879553546034627
18,-0.004707603414883049
19,-0.004492766354745947
20,-0.0045299797783584445
21,-0.00446788500057651
22,-0.004967803219130604
23,-0.00458016404695373
24,-0.004443660804482731
25,-0.005985391021735693
26,-0.005531629104664988
27,-0.005937783934551014
28,-0.005442187544153972
29,-0.005265559084551315
30,-0.005152767114009408
31,-0.004598586559370392
32,-0.004427260816644531
33,-0.004450745747115442
34,-0.004181433172469027
35,-0.004266430016287326
36,-0.003973480486252348
37,-0.004368154883698481
38,-0.004122904102652813
39,-0.004176590339640412
40,-0.003906896996676942
41,-0.004341388177328573
42,-0.004147474380008955
