,0
0,-0.009329462144166759
1,-0.008089909892315703
2,-0.007028067689256305
3,-0.006854586770984663
4,-0.006229350291634298
5,-0.006716242597457327
6,-0.006394357890178869
7,-0.006216185226388118
8,-0.005622534229956015
9,-0.005922766302440413
10,-0.00655580120720036
11,-0.006250875029394103
12,-0.006036593044234972
13,-0.005618107298279056
14,-0.0054399572045176784
15,-0.005681279666117381
16,-0.006449566037202878
17,-0.006156140855693258
18,-0.00591659705864554
19,-0.005434487430732287
20,-0.0052940484807598165
21,-0.00528777381668094
22,-0.007755761375515554
23,-0.0074460600233799135
24,-0.007081133595887972
25,-0.00728311587109641
26,-0.006934820019209719
27,-0.00717531838522474
28,-0.006854910984628627
