,0
0,-0.05358231560765095
1,-0.04919323251579328
2,-0.0491529445013065
3,-0.04918151983417939
4,-0.049159285300646234
5,-0.049795327262524745
6,-0.04910684695856407
7,-0.04497582741699701
8,-0.03938327026580421
9,-0.039347661161032006
10,-0.0458330238938266
11,-0.03734954279351141
12,-0.03935137396775617
13,-0.039332109425729726
14,-0.03729663179087811
15,-0.03985490858308875
16,-0.03929788762069368
17,-0.04579022193808599
18,-0.037297878838971434
19,-0.03726925396226052
20,-0.03730638695993548
21,-0.03787602895507725
22,-0.03722053941771713
23,-0.03725347595730218
24,-0.03725471430111282
25,-0.037226089424401906
26,-0.03783251776697051
27,-0.03717737923243872
