,0
0,-0.07512430751738633
1,-0.060427882088367094
2,-0.054281977149254076
3,-0.05636424472371881
4,-0.054485012000830356
5,-0.051340623128849926
6,-0.051258253083407236
7,-0.05506187063456194
8,-0.0543145153360901
9,-0.05445349621240421
10,-0.0544564562498087
11,-0.05328895046675695
12,-0.05363332139832692
13,-0.047353097050209396
14,-0.04548027930948235
15,-0.04773935693230049
16,-0.04587633166148245
17,-0.05509948369391308
18,-0.055091632193335544
19,-0.05430423175640102
20,-0.05428462933189245
21,-0.05428298989548666
22,-0.0532574346783308
23,-0.05360180560990078
24,-0.05326039471573528
25,-0.05360476564730526
26,-0.05327866688706787
27,-0.046055181871799404
28,-0.04535118546445219
29,-0.044328672606997424
30,-0.04466181782112349
31,-0.04545126457663764
32,-0.04545774195222445
33,-0.04650336975916372
34,-0.04600012868895438
35,-0.04585616230028404
36,-0.045853053210618284
37,-0.04498082289624307
38,-0.045044736784620544
39,-0.05427434575220338
40,-0.05427270631579759
41,-0.05324715109864173
42,-0.05325011113604621
43,-0.0460635170925629
44,-0.04605847158975216
45,-0.045342027607830106
46,-0.04532824583489318
47,-0.0453226808877838
48,-0.044299657874152715
49,-0.04430613524973952
50,-0.04431951475037534
51,-0.044632803088278786
52,-0.04463928046386558
53,-0.04648767132569149
54,-0.045977050934721674
55,-0.044960653535044665
56,-0.04502456742342214
57,-0.04495754444537891
58,-0.045021458333756384
59,-0.045037720295431266
60,-0.0453190879782711
61,-0.04531352303116172
62,-0.04429050001753065
63,-0.044296977393117436
64,-0.04501755093423286
65,-0.045014441844567106
66,-0.07040610465730275
67,-0.07952547000019437
68,-0.0795229774464909
69,-0.061143634546024096
70,-0.054614845825730125
71,-0.06871547779412676
72,-0.06109589529253237
73,-0.06871298524042328
74,-0.061093402738828885
75,-0.060014825293954306
76,-0.05899595287168757
77,-0.05282480364856778
78,-0.054054080411532264
79,-0.06739807335768458
80,-0.06620897338636386
81,-0.05900678280405105
82,-0.06044144030546258
83,-0.0673955808039811
84,-0.06620648083266038
85,-0.05900429025034756
86,-0.06043894775175909
87,-0.05982721836074928
88,-0.05880834593848256
89,-0.05169896962154882
90,-0.0506800971992821
91,-0.052875058131242755
92,-0.06717912209939322
93,-0.0659900221280725
94,-0.0576928506767472
95,-0.05650375070542647
96,-0.059002556436655
97,-0.06717662954568973
98,-0.06598752957436903
99,-0.05769035812304371
100,-0.05650125815172299
101,-0.059000004600593174
102,-0.05151136268834379
103,-0.05049249026607707
104,-0.057473899418455834
105,-0.05628479944713511
106,-0.05747140686475235
107,-0.056282306893431625
