mut_id,mut_label
0,chr10_1003
1,chr10_106
2,chr10_1061
3,chr10_1092
4,chr10_1112
5,chr10_112
6,chr10_1123
7,chr10_1151
8,chr10_1182
9,chr10_1192
10,chr10_1239
11,chr10_1261
12,chr10_1270
13,chr10_1274
14,chr10_1276
15,chr10_1308
16,chr10_1310
17,chr10_1386
18,chr10_1388
19,chr10_139
20,chr10_140
21,chr10_1411
22,chr10_1417
23,chr10_1433
24,chr10_145
25,chr10_1475
26,chr10_1498
27,chr10_1606
28,chr10_1610
29,chr10_1616
30,chr10_1622
31,chr10_1630
32,chr10_1633
33,chr10_1702
34,chr10_1719
35,chr10_1742
36,chr10_1801
37,chr10_1877
38,chr10_1888
39,chr10_1932
40,chr10_1939
41,chr10_1950
42,chr10_1963
43,chr10_1970
44,chr10_2065
45,chr10_2111
46,chr10_2114
47,chr10_2184
48,chr10_2239
49,chr10_2291
50,chr10_2296
51,chr10_2337
52,chr10_2388
53,chr10_241
54,chr10_2410
55,chr10_2464
56,chr10_2477
57,chr10_2486
58,chr10_2552
59,chr10_2571
60,chr10_2618
61,chr10_2624
62,chr10_2625
63,chr10_2666
64,chr10_2689
65,chr10_2730
66,chr10_2746
67,chr10_2784
68,chr10_2799
69,chr10_2826
70,chr10_2852
71,chr10_2857
72,chr10_2906
73,chr10_2994
74,chr10_2997
75,chr10_3
76,chr10_3004
77,chr10_3013
78,chr10_3026
79,chr10_3076
80,chr10_3102
81,chr10_3109
82,chr10_3184
83,chr10_3227
84,chr10_3241
85,chr10_3250
86,chr10_3252
87,chr10_3256
88,chr10_3267
89,chr10_3319
90,chr10_3331
91,chr10_3370
92,chr10_3400
93,chr10_3404
94,chr10_3412
95,chr10_3424
96,chr10_3449
97,chr10_3474
98,chr10_3489
99,chr10_355
100,chr10_3550
101,chr10_366
102,chr10_3667
103,chr10_3673
104,chr10_466
105,chr10_528
106,chr10_53
107,chr10_544
108,chr10_588
109,chr10_66
110,chr10_689
111,chr10_70
112,chr10_71
113,chr10_713
114,chr10_717
115,chr10_730
116,chr10_753
117,chr10_762
118,chr10_773
119,chr10_79
120,chr10_848
121,chr10_868
122,chr10_875
123,chr10_899
124,chr10_906
125,chr10_916
126,chr10_987
127,chr11_1012
128,chr11_1013
129,chr11_1041
130,chr11_1048
131,chr11_1055
132,chr11_1069
133,chr11_1073
134,chr11_1079
135,chr11_1134
136,chr11_1176
137,chr11_1178
138,chr11_1179
139,chr11_120
140,chr11_1214
141,chr11_1221
142,chr11_1230
143,chr11_1307
144,chr11_1338
145,chr11_134
146,chr11_1347
147,chr11_1373
148,chr11_1382
149,chr11_1387
150,chr11_1389
151,chr11_1391
152,chr11_1399
153,chr11_1402
154,chr11_1415
155,chr11_1420
156,chr11_1434
157,chr11_1461
158,chr11_1463
159,chr11_1470
160,chr11_1481
161,chr11_1484
162,chr11_1501
163,chr11_1532
164,chr11_1546
165,chr11_1549
166,chr11_1580
167,chr11_1581
168,chr11_1620
169,chr11_1632
170,chr11_1634
171,chr11_1655
172,chr11_1664
173,chr11_1668
174,chr11_1673
175,chr11_1687
176,chr11_1722
177,chr11_1807
178,chr11_1808
179,chr11_1817
180,chr11_1821
181,chr11_1875
182,chr11_1940
183,chr11_1973
184,chr11_1984
185,chr11_1989
186,chr11_1996
187,chr11_2004
188,chr11_2047
189,chr11_2050
190,chr11_206
191,chr11_2066
192,chr11_2101
193,chr11_2138
194,chr11_2148
195,chr11_2149
196,chr11_2165
197,chr11_2166
198,chr11_2169
199,chr11_2206
200,chr11_2214
201,chr11_2232
202,chr11_2272
203,chr11_2275
204,chr11_2306
205,chr11_2314
206,chr11_2325
207,chr11_2329
208,chr11_2334
209,chr11_2366
210,chr11_2367
211,chr11_2372
212,chr11_2434
213,chr11_2440
214,chr11_2476
215,chr11_2495
216,chr11_2525
217,chr11_2533
218,chr11_2542
219,chr11_2551
220,chr11_2568
221,chr11_2597
222,chr11_2617
223,chr11_2632
224,chr11_265
225,chr11_2697
226,chr11_2743
227,chr11_2775
228,chr11_2787
229,chr11_2797
230,chr11_2811
231,chr11_2817
232,chr11_2828
233,chr11_2867
234,chr11_2882
235,chr11_2907
236,chr11_2919
237,chr11_2930
238,chr11_2946
239,chr11_2949
240,chr11_296
241,chr11_2963
242,chr11_2973
243,chr11_2979
244,chr11_303
245,chr11_3041
246,chr11_3043
247,chr11_3086
248,chr11_31
249,chr11_3140
250,chr11_324
251,chr11_3240
252,chr11_3244
253,chr11_3248
254,chr11_3276
255,chr11_3287
256,chr11_3295
257,chr11_3326
258,chr11_3341
259,chr11_3351
260,chr11_3369
261,chr11_3372
262,chr11_3373
263,chr11_3378
264,chr11_3386
265,chr11_3388
266,chr11_34
267,chr11_3416
268,chr11_3431
269,chr11_3462
270,chr11_3494
271,chr11_3511
272,chr11_3531
273,chr11_3552
274,chr11_3558
275,chr11_3583
276,chr11_3596
277,chr11_3610
278,chr11_3617
279,chr11_3626
280,chr11_3657
281,chr11_3691
282,chr11_379
283,chr11_411
284,chr11_424
285,chr11_425
286,chr11_453
287,chr11_471
288,chr11_474
289,chr11_483
290,chr11_500
291,chr11_512
292,chr11_520
293,chr11_529
294,chr11_546
295,chr11_55
296,chr11_562
297,chr11_578
298,chr11_583
299,chr11_585
300,chr11_68
301,chr11_778
302,chr11_791
303,chr11_795
304,chr11_818
305,chr11_831
306,chr11_859
307,chr11_861
308,chr11_87
309,chr11_882
310,chr11_885
311,chr11_92
312,chr11_931
313,chr11_955
314,chr11_972
315,chr11_983
316,chr11_984
317,chr11_985
318,chr11_988
319,chr12_1021
320,chr12_1034
321,chr12_1044
322,chr12_1052
323,chr12_1053
324,chr12_107
